IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.26.9.123,443,true,HKG,Asia Pacific,Hong Kong,33 ms,5012 kB/s
104.18.21.199,443,true,SEA,North America,Seattle,195 ms,4942 kB/s
104.26.12.206,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4913 kB/s
104.18.113.47,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4899 kB/s
104.18.34.229,443,true,HKG,Asia Pacific,Hong Kong,35 ms,4887 kB/s
104.16.252.218,443,true,HKG,Asia Pacific,Hong Kong,42 ms,4854 kB/s
104.16.92.80,443,true,SJC,North America,San Jose,181 ms,4853 kB/s
104.16.163.7,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4852 kB/s
172.67.38.106,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4848 kB/s
104.19.251.9,443,true,SJC,North America,San Jose,156 ms,4822 kB/s
104.18.39.111,443,true,HKG,Asia Pacific,Hong Kong,33 ms,4805 kB/s
104.16.253.86,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4745 kB/s
104.20.79.102,443,true,HKG,Asia Pacific,Hong Kong,38 ms,4742 kB/s
104.18.114.47,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4712 kB/s
104.18.43.168,443,true,HKG,Asia Pacific,Hong Kong,32 ms,4673 kB/s
104.16.161.115,443,true,HKG,Asia Pacific,Hong Kong,33 ms,4668 kB/s
172.64.150.190,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4654 kB/s
104.19.177.52,443,true,HKG,Asia Pacific,Hong Kong,32 ms,4651 kB/s
104.18.243.108,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4595 kB/s
104.16.90.41,443,true,TPE,Asia Pacific,Taipei,53 ms,4585 kB/s
104.26.13.220,443,true,HKG,Asia Pacific,Hong Kong,32 ms,4548 kB/s
172.67.74.167,443,true,HKG,Asia Pacific,Hong Kong,35 ms,4530 kB/s
104.18.128.133,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4507 kB/s
104.18.33.246,443,true,HKG,Asia Pacific,Hong Kong,35 ms,4506 kB/s
162.159.138.64,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4501 kB/s
104.26.0.7,443,true,HKG,Asia Pacific,Hong Kong,36 ms,4487 kB/s
104.16.123.175,443,true,SJC,North America,San Jose,169 ms,4470 kB/s
104.22.53.86,443,true,HKG,Asia Pacific,Hong Kong,36 ms,4458 kB/s
104.16.80.186,443,true,NRT,Asia Pacific,Tokyo,59 ms,4454 kB/s
172.67.188.90,443,true,LAX,North America,Los Angeles,184 ms,4443 kB/s
172.64.146.178,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4443 kB/s
104.16.205.76,443,true,HKG,Asia Pacific,Hong Kong,33 ms,4422 kB/s
104.16.144.250,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4403 kB/s
104.17.85.252,443,true,SJC,North America,San Jose,179 ms,4401 kB/s
104.18.31.209,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4399 kB/s
104.18.218.73,443,true,SJC,North America,San Jose,205 ms,4393 kB/s
104.26.5.166,443,true,HKG,Asia Pacific,Hong Kong,37 ms,4368 kB/s
104.22.16.75,443,true,SJC,North America,San Jose,181 ms,4367 kB/s
104.16.120.50,443,true,HKG,Asia Pacific,Hong Kong,32 ms,4367 kB/s
104.19.45.56,443,true,HKG,Asia Pacific,Hong Kong,36 ms,4353 kB/s
104.18.12.245,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4342 kB/s
104.16.160.115,443,true,HKG,Asia Pacific,Hong Kong,31 ms,4303 kB/s
104.16.95.254,443,true,TPE,Asia Pacific,Taipei,51 ms,4281 kB/s
172.67.68.21,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4276 kB/s
104.17.32.105,443,true,TPE,Asia Pacific,Taipei,83 ms,4265 kB/s
172.67.8.80,443,true,HKG,Asia Pacific,Hong Kong,33 ms,4251 kB/s
172.67.8.54,443,true,FRA,Europe,Frankfurt,250 ms,4250 kB/s
104.16.141.52,443,true,FRA,Europe,Frankfurt,200 ms,4227 kB/s
104.18.28.127,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4190 kB/s
104.16.64.227,443,true,SJC,North America,San Jose,175 ms,4159 kB/s
104.18.208.162,443,true,SJC,North America,San Jose,187 ms,4143 kB/s
104.25.164.10,443,true,HKG,Asia Pacific,Hong Kong,35 ms,4135 kB/s
104.18.23.19,443,true,SEA,North America,Seattle,194 ms,4124 kB/s
172.67.32.214,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4117 kB/s
172.67.197.206,443,true,LAX,North America,Los Angeles,187 ms,4107 kB/s
104.16.239.153,443,true,HKG,Asia Pacific,Hong Kong,32 ms,4101 kB/s
104.18.111.43,443,true,SJC,North America,San Jose,210 ms,4101 kB/s
172.64.151.235,443,true,HKG,Asia Pacific,Hong Kong,32 ms,4092 kB/s
104.20.28.144,443,true,HKG,Asia Pacific,Hong Kong,33 ms,4090 kB/s
104.21.64.231,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4078 kB/s
104.18.145.169,443,true,HKG,Asia Pacific,Hong Kong,35 ms,4047 kB/s
104.19.183.222,443,true,SJC,North America,San Jose,190 ms,4045 kB/s
172.64.153.101,443,true,HKG,Asia Pacific,Hong Kong,32 ms,4040 kB/s
172.67.144.138,443,true,HKG,Asia Pacific,Hong Kong,34 ms,4012 kB/s
104.18.244.88,443,true,SJC,North America,San Jose,164 ms,4012 kB/s
104.17.190.105,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3974 kB/s
172.64.138.5,443,true,LAX,North America,Los Angeles,175 ms,3967 kB/s
104.22.52.86,443,true,HKG,Asia Pacific,Hong Kong,35 ms,3961 kB/s
104.18.32.104,443,true,HKG,Asia Pacific,Hong Kong,33 ms,3950 kB/s
172.67.177.21,443,true,HKG,Asia Pacific,Hong Kong,32 ms,3938 kB/s
104.18.130.236,443,true,SJC,North America,San Jose,200 ms,3907 kB/s
104.16.126.175,443,true,SJC,North America,San Jose,202 ms,3907 kB/s
172.67.142.245,443,true,HKG,Asia Pacific,Hong Kong,32 ms,3905 kB/s
104.18.26.207,443,true,SEA,North America,Seattle,181 ms,3823 kB/s
104.16.145.250,443,true,HKG,Asia Pacific,Hong Kong,32 ms,3797 kB/s
172.67.23.20,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3793 kB/s
104.19.147.81,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3786 kB/s
104.18.94.144,443,true,HKG,Asia Pacific,Hong Kong,38 ms,3770 kB/s
104.16.78.186,443,true,HKG,Asia Pacific,Hong Kong,31 ms,3714 kB/s
172.67.173.62,443,true,HKG,Asia Pacific,Hong Kong,35 ms,3711 kB/s
104.16.219.119,443,true,TPE,Asia Pacific,Taipei,54 ms,3699 kB/s
104.19.251.227,443,true,SJC,North America,San Jose,182 ms,3697 kB/s
162.159.140.98,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3683 kB/s
104.16.87.20,443,true,TPE,Asia Pacific,Taipei,54 ms,3676 kB/s
104.16.147.2,443,true,HKG,Asia Pacific,Hong Kong,31 ms,3647 kB/s
104.17.144.12,443,true,HKG,Asia Pacific,Hong Kong,43 ms,3642 kB/s
104.22.37.70,443,true,HKG,Asia Pacific,Hong Kong,36 ms,3628 kB/s
104.16.88.20,443,true,TPE,Asia Pacific,Taipei,53 ms,3625 kB/s
104.16.122.175,443,true,SJC,North America,San Jose,163 ms,3621 kB/s
104.17.213.83,443,true,HKG,Asia Pacific,Hong Kong,46 ms,3617 kB/s
104.17.109.28,443,true,HKG,Asia Pacific,Hong Kong,38 ms,3581 kB/s
104.17.3.95,443,true,SJC,North America,San Jose,185 ms,3581 kB/s
104.18.109.30,443,true,SJC,North America,San Jose,178 ms,3560 kB/s
104.18.218.124,443,true,SJC,North America,San Jose,179 ms,3506 kB/s
172.67.30.78,443,true,HKG,Asia Pacific,Hong Kong,33 ms,3505 kB/s
172.67.183.10,443,true,LAX,North America,Los Angeles,183 ms,3502 kB/s
104.17.86.92,443,true,SJC,North America,San Jose,191 ms,3501 kB/s
104.18.40.141,443,true,HKG,Asia Pacific,Hong Kong,33 ms,3490 kB/s
104.16.132.186,443,true,HKG,Asia Pacific,Hong Kong,32 ms,3454 kB/s
172.67.177.136,443,true,LAX,North America,Los Angeles,174 ms,3454 kB/s
172.64.149.232,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3448 kB/s
172.67.208.58,443,true,SJC,North America,San Jose,196 ms,3388 kB/s
104.18.212.105,443,true,SJC,North America,San Jose,193 ms,3386 kB/s
104.18.205.2,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3376 kB/s
172.67.171.57,443,true,HKG,Asia Pacific,Hong Kong,36 ms,3342 kB/s
172.67.18.69,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3329 kB/s
104.18.35.184,443,true,HKG,Asia Pacific,Hong Kong,32 ms,3308 kB/s
172.64.147.188,443,true,HKG,Asia Pacific,Hong Kong,34 ms,3301 kB/s
104.18.42.220,443,true,HKG,Asia Pacific,Hong Kong,30 ms,3286 kB/s
104.22.4.9,443,true,SJC,North America,San Jose,181 ms,3271 kB/s
172.67.148.32,443,true,SEA,North America,Seattle,175 ms,3261 kB/s
104.18.46.32,443,true,HKG,Asia Pacific,Hong Kong,31 ms,3252 kB/s
104.16.156.110,443,true,HKG,Asia Pacific,Hong Kong,40 ms,3245 kB/s
104.22.49.225,443,true,SEA,North America,Seattle,182 ms,3242 kB/s
104.18.242.108,443,true,HKG,Asia Pacific,Hong Kong,33 ms,3227 kB/s
104.18.97.99,443,true,SJC,North America,San Jose,198 ms,3209 kB/s
172.67.181.91,443,true,LAX,North America,Los Angeles,173 ms,3200 kB/s
172.67.190.154,443,true,LAX,North America,Los Angeles,173 ms,3177 kB/s
172.64.158.226,443,true,HKG,Asia Pacific,Hong Kong,93 ms,3149 kB/s
104.22.30.124,443,true,HKG,Asia Pacific,Hong Kong,33 ms,3147 kB/s
172.64.139.5,443,true,LAX,North America,Los Angeles,169 ms,3107 kB/s
172.67.187.149,443,true,HKG,Asia Pacific,Hong Kong,33 ms,3104 kB/s
172.64.151.110,443,true,HKG,Asia Pacific,Hong Kong,32 ms,3093 kB/s
104.21.47.34,443,true,SJC,North America,San Jose,188 ms,3073 kB/s
104.18.34.156,443,true,HKG,Asia Pacific,Hong Kong,30 ms,3043 kB/s
172.67.1.28,443,true,HKG,Asia Pacific,Hong Kong,32 ms,3039 kB/s
104.21.90.130,443,true,HKG,Asia Pacific,Hong Kong,31 ms,3015 kB/s
104.26.6.156,443,true,HKG,Asia Pacific,Hong Kong,88 ms,3010 kB/s
104.21.47.160,443,true,SJC,North America,San Jose,194 ms,2987 kB/s
104.18.111.11,443,true,SJC,North America,San Jose,176 ms,2947 kB/s
104.18.27.207,443,true,SEA,North America,Seattle,213 ms,2926 kB/s
104.18.39.38,443,true,HKG,Asia Pacific,Hong Kong,30 ms,2900 kB/s
104.18.110.3,443,true,SJC,North America,San Jose,178 ms,2891 kB/s
172.67.128.169,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2869 kB/s
172.64.102.11,443,true,LAX,North America,Los Angeles,178 ms,2868 kB/s
104.16.44.99,443,true,TPE,Asia Pacific,Taipei,56 ms,2863 kB/s
104.17.167.20,443,true,HKG,Asia Pacific,Hong Kong,48 ms,2848 kB/s
104.19.147.8,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2835 kB/s
172.64.147.160,443,true,HKG,Asia Pacific,Hong Kong,31 ms,2833 kB/s
104.17.79.30,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2831 kB/s
104.18.17.217,443,true,HKG,Asia Pacific,Hong Kong,29 ms,2800 kB/s
104.18.41.9,443,true,HKG,Asia Pacific,Hong Kong,30 ms,2790 kB/s
172.67.140.60,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2789 kB/s
104.16.133.40,443,true,FRA,Europe,Frankfurt,235 ms,2785 kB/s
104.18.125.47,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2781 kB/s
104.18.109.149,443,true,SJC,North America,San Jose,191 ms,2774 kB/s
104.17.200.204,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2760 kB/s
104.17.174.227,443,true,HKG,Asia Pacific,Hong Kong,31 ms,2755 kB/s
172.64.154.10,443,true,HKG,Asia Pacific,Hong Kong,30 ms,2751 kB/s
104.17.74.206,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2735 kB/s
104.16.238.68,443,true,SJC,North America,San Jose,226 ms,2734 kB/s
104.16.4.14,443,true,HKG,Asia Pacific,Hong Kong,67 ms,2732 kB/s
172.67.70.137,443,true,HKG,Asia Pacific,Hong Kong,37 ms,2706 kB/s
104.22.5.105,443,true,SJC,North America,San Jose,182 ms,2706 kB/s
104.22.49.171,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2705 kB/s
104.16.89.20,443,true,NRT,Asia Pacific,Tokyo,71 ms,2681 kB/s
104.19.133.73,443,true,LAX,North America,Los Angeles,208 ms,2667 kB/s
104.18.71.43,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2663 kB/s
172.65.90.27,443,true,SEA,North America,Seattle,34 ms,2662 kB/s
172.67.193.20,443,true,HKG,Asia Pacific,Hong Kong,37 ms,2647 kB/s
104.17.0.65,443,true,SJC,North America,San Jose,177 ms,2645 kB/s
104.20.90.102,443,true,HKG,Asia Pacific,Hong Kong,37 ms,2639 kB/s
104.17.98.5,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2623 kB/s
162.159.140.37,443,true,HKG,Asia Pacific,Hong Kong,31 ms,2605 kB/s
172.64.146.152,443,true,HKG,Asia Pacific,Hong Kong,68 ms,2599 kB/s
172.64.149.48,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2597 kB/s
104.26.6.243,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2597 kB/s
104.16.85.20,443,true,SJC,North America,San Jose,192 ms,2583 kB/s
104.16.45.99,443,true,TPE,Asia Pacific,Taipei,55 ms,2579 kB/s
104.16.133.186,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2575 kB/s
172.67.27.152,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2563 kB/s
104.18.82.205,443,true,HKG,Asia Pacific,Hong Kong,47 ms,2556 kB/s
104.21.91.31,443,true,SJC,North America,San Jose,173 ms,2555 kB/s
104.19.132.73,443,true,SJC,North America,San Jose,197 ms,2546 kB/s
104.21.25.229,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2544 kB/s
104.16.157.158,443,true,HKG,Asia Pacific,Hong Kong,38 ms,2539 kB/s
172.67.71.102,443,true,SEA,North America,Seattle,195 ms,2536 kB/s
104.19.209.92,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2536 kB/s
172.67.190.194,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2526 kB/s
104.16.118.116,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2521 kB/s
172.67.135.202,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2519 kB/s
104.18.122.47,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2500 kB/s
172.64.103.11,443,true,LAX,North America,Los Angeles,187 ms,2492 kB/s
104.16.160.145,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2492 kB/s
104.17.88.42,443,true,SJC,North America,San Jose,168 ms,2489 kB/s
104.18.32.137,443,true,LAX,North America,Los Angeles,170 ms,2486 kB/s
104.22.29.96,443,true,HKG,Asia Pacific,Hong Kong,31 ms,2480 kB/s
104.16.168.131,443,true,SJC,North America,San Jose,149 ms,2474 kB/s
104.18.40.96,443,true,HKG,Asia Pacific,Hong Kong,30 ms,2463 kB/s
172.64.150.95,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2459 kB/s
172.67.180.21,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2439 kB/s
104.18.96.113,443,true,SJC,North America,San Jose,181 ms,2421 kB/s
104.18.242.167,443,true,SJC,North America,San Jose,176 ms,2381 kB/s
172.67.71.95,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2374 kB/s
104.20.60.177,443,true,FRA,Europe,Frankfurt,237 ms,2366 kB/s
172.67.6.39,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2362 kB/s
104.19.189.239,443,true,SJC,North America,San Jose,182 ms,2352 kB/s
104.16.231.9,443,true,SJC,North America,San Jose,204 ms,2345 kB/s
172.64.146.254,443,true,HKG,Asia Pacific,Hong Kong,31 ms,2301 kB/s
104.17.212.83,443,true,HKG,Asia Pacific,Hong Kong,37 ms,2298 kB/s
172.67.20.8,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2288 kB/s
104.26.5.17,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2281 kB/s
104.21.71.171,443,true,SJC,North America,San Jose,166 ms,2277 kB/s
185.146.173.20,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2249 kB/s
104.16.64.25,443,true,HKG,Asia Pacific,Hong Kong,31 ms,2246 kB/s
172.67.183.174,443,true,LAX,North America,Los Angeles,187 ms,2239 kB/s
104.18.210.53,443,true,SJC,North America,San Jose,196 ms,2231 kB/s
104.18.21.107,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2231 kB/s
172.67.68.204,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2230 kB/s
104.26.15.119,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2227 kB/s
104.16.161.106,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2224 kB/s
104.16.55.40,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2219 kB/s
172.64.110.36,443,true,LAX,North America,Los Angeles,183 ms,2210 kB/s
104.16.62.60,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2206 kB/s
104.22.35.149,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2199 kB/s
172.67.69.196,443,true,HKG,Asia Pacific,Hong Kong,38 ms,2196 kB/s
172.67.71.195,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2196 kB/s
104.18.211.105,443,true,SJC,North America,San Jose,181 ms,2175 kB/s
172.67.12.205,443,true,FRA,Europe,Frankfurt,200 ms,2172 kB/s
104.18.122.12,443,true,FRA,Europe,Frankfurt,227 ms,2171 kB/s
104.22.28.96,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2170 kB/s
104.26.9.205,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2169 kB/s
104.16.56.101,443,true,SEA,North America,Seattle,184 ms,2167 kB/s
104.16.26.151,443,true,SJC,North America,San Jose,186 ms,2157 kB/s
104.19.216.51,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2151 kB/s
104.22.31.170,443,true,SJC,North America,San Jose,185 ms,2150 kB/s
104.22.39.92,443,true,HKG,Asia Pacific,Hong Kong,76 ms,2144 kB/s
104.18.43.158,443,true,HKG,Asia Pacific,Hong Kong,53 ms,2138 kB/s
104.21.29.7,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2136 kB/s
104.18.87.42,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2133 kB/s
172.67.1.248,443,true,HKG,Asia Pacific,Hong Kong,36 ms,2123 kB/s
104.17.110.33,443,true,HKG,Asia Pacific,Hong Kong,63 ms,2122 kB/s
172.64.151.47,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2114 kB/s
104.26.1.227,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2113 kB/s
104.16.241.47,443,true,HKG,Asia Pacific,Hong Kong,41 ms,2113 kB/s
104.18.39.153,443,true,HKG,Asia Pacific,Hong Kong,44 ms,2103 kB/s
104.18.187.31,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2101 kB/s
104.21.19.94,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2098 kB/s
104.26.4.34,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2090 kB/s
172.67.37.72,443,true,LAX,North America,Los Angeles,175 ms,2087 kB/s
172.64.147.115,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2074 kB/s
104.18.32.90,443,true,HKG,Asia Pacific,Hong Kong,30 ms,2070 kB/s
172.66.42.211,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2065 kB/s
104.22.34.149,443,true,HKG,Asia Pacific,Hong Kong,33 ms,2053 kB/s
104.18.5.186,443,true,HKG,Asia Pacific,Hong Kong,32 ms,2044 kB/s
104.22.31.124,443,true,HKG,Asia Pacific,Hong Kong,30 ms,2032 kB/s
172.67.14.78,443,true,FRA,Europe,Frankfurt,235 ms,2031 kB/s
172.67.20.89,443,true,HKG,Asia Pacific,Hong Kong,35 ms,2023 kB/s
172.67.185.184,443,true,HKG,Asia Pacific,Hong Kong,34 ms,2022 kB/s
104.22.38.92,443,true,HKG,Asia Pacific,Hong Kong,38 ms,2011 kB/s
172.64.149.243,443,true,HKG,Asia Pacific,Hong Kong,31 ms,1993 kB/s
104.18.147.169,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1982 kB/s
104.17.203.204,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1973 kB/s
104.18.39.241,443,true,HKG,Asia Pacific,Hong Kong,32 ms,1961 kB/s
104.18.34.155,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1956 kB/s
104.21.41.9,443,true,SJC,North America,San Jose,200 ms,1952 kB/s
104.22.48.100,443,true,SEA,North America,Seattle,182 ms,1949 kB/s
104.26.2.141,443,true,HKG,Asia Pacific,Hong Kong,49 ms,1949 kB/s
172.64.140.13,443,true,LAX,North America,Los Angeles,176 ms,1936 kB/s
172.64.155.238,443,true,HKG,Asia Pacific,Hong Kong,32 ms,1936 kB/s
104.22.48.74,443,true,HKG,Asia Pacific,Hong Kong,37 ms,1922 kB/s
104.22.31.40,443,true,SJC,North America,San Jose,202 ms,1921 kB/s
104.22.69.66,443,true,HKG,Asia Pacific,Hong Kong,34 ms,1918 kB/s
104.21.7.140,443,true,HKG,Asia Pacific,Hong Kong,38 ms,1907 kB/s
104.21.92.98,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1905 kB/s
104.16.109.151,443,true,FRA,Europe,Frankfurt,242 ms,1899 kB/s
104.18.36.209,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1894 kB/s
172.67.188.183,443,true,LAX,North America,Los Angeles,182 ms,1877 kB/s
104.18.38.24,443,true,HKG,Asia Pacific,Hong Kong,36 ms,1872 kB/s
104.17.4.95,443,true,SJC,North America,San Jose,191 ms,1872 kB/s
104.21.59.169,443,true,LAX,North America,Los Angeles,171 ms,1872 kB/s
104.22.20.94,443,true,SJC,North America,San Jose,150 ms,1863 kB/s
172.64.148.75,443,true,HKG,Asia Pacific,Hong Kong,31 ms,1860 kB/s
104.16.148.37,443,true,HKG,Asia Pacific,Hong Kong,32 ms,1860 kB/s
172.67.75.33,443,true,HKG,Asia Pacific,Hong Kong,35 ms,1858 kB/s
104.18.131.68,443,true,SJC,North America,San Jose,191 ms,1840 kB/s
104.17.201.204,443,true,HKG,Asia Pacific,Hong Kong,31 ms,1840 kB/s
104.16.231.131,443,true,SJC,North America,San Jose,182 ms,1838 kB/s
104.18.21.236,443,true,HKG,Asia Pacific,Hong Kong,35 ms,1833 kB/s
104.16.127.189,443,true,SJC,North America,San Jose,188 ms,1815 kB/s
104.16.88.116,443,true,TPE,Asia Pacific,Taipei,53 ms,1805 kB/s
172.64.146.18,443,true,HKG,Asia Pacific,Hong Kong,87 ms,1804 kB/s
104.21.12.88,443,true,HKG,Asia Pacific,Hong Kong,36 ms,1796 kB/s
104.19.141.110,443,true,TPE,Asia Pacific,Taipei,52 ms,1780 kB/s
104.18.131.236,443,true,SJC,North America,San Jose,192 ms,1772 kB/s
104.18.193.99,443,true,SJC,North America,San Jose,187 ms,1760 kB/s
172.67.176.80,443,true,LAX,North America,Los Angeles,178 ms,1760 kB/s
172.67.18.242,443,true,LAX,North America,Los Angeles,190 ms,1756 kB/s
104.22.36.70,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1755 kB/s
104.18.38.13,443,true,HKG,Asia Pacific,Hong Kong,31 ms,1749 kB/s
172.67.43.83,443,true,HKG,Asia Pacific,Hong Kong,34 ms,1743 kB/s
172.67.23.100,443,true,LAX,North America,Los Angeles,184 ms,1743 kB/s
104.18.36.205,443,true,HKG,Asia Pacific,Hong Kong,57 ms,1738 kB/s
172.67.72.172,443,true,SEA,North America,Seattle,183 ms,1734 kB/s
172.67.39.124,443,true,HKG,Asia Pacific,Hong Kong,32 ms,1721 kB/s
104.18.189.219,443,true,HKG,Asia Pacific,Hong Kong,31 ms,1710 kB/s
104.20.229.70,443,true,HKG,Asia Pacific,Hong Kong,36 ms,1708 kB/s
104.18.217.73,443,true,SJC,North America,San Jose,179 ms,1701 kB/s
104.16.136.15,443,true,FRA,Europe,Frankfurt,213 ms,1693 kB/s
172.67.188.11,443,true,HKG,Asia Pacific,Hong Kong,32 ms,1684 kB/s
104.17.71.206,443,true,HKG,Asia Pacific,Hong Kong,32 ms,1682 kB/s
104.18.112.43,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1648 kB/s
104.21.56.247,443,true,HKG,Asia Pacific,Hong Kong,34 ms,1634 kB/s
172.67.43.154,443,true,LAX,North America,Los Angeles,169 ms,1629 kB/s
104.17.72.206,443,true,HKG,Asia Pacific,Hong Kong,40 ms,1618 kB/s
104.18.36.21,443,true,LAX,North America,Los Angeles,177 ms,1609 kB/s
104.18.141.104,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1609 kB/s
104.22.27.185,443,true,HKG,Asia Pacific,Hong Kong,34 ms,1605 kB/s
172.67.163.7,443,true,HKG,Asia Pacific,Hong Kong,36 ms,1598 kB/s
162.159.136.54,443,true,HKG,Asia Pacific,Hong Kong,34 ms,1596 kB/s
104.16.39.36,443,true,SEA,North America,Seattle,207 ms,1595 kB/s
104.16.229.149,443,true,SJC,North America,San Jose,186 ms,1584 kB/s
172.67.41.60,443,true,HKG,Asia Pacific,Hong Kong,37 ms,1584 kB/s
104.18.32.215,443,true,LAX,North America,Los Angeles,186 ms,1582 kB/s
104.16.93.80,443,true,SJC,North America,San Jose,170 ms,1565 kB/s
104.16.170.68,443,true,SJC,North America,San Jose,187 ms,1559 kB/s
104.17.33.105,443,true,TPE,Asia Pacific,Taipei,54 ms,1550 kB/s
104.18.41.238,443,true,LAX,North America,Los Angeles,187 ms,1548 kB/s
104.18.141.17,443,true,HKG,Asia Pacific,Hong Kong,38 ms,1534 kB/s
172.67.159.92,443,true,SEA,North America,Seattle,195 ms,1533 kB/s
104.21.10.2,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1532 kB/s
104.17.86.212,443,true,SJC,North America,San Jose,186 ms,1527 kB/s
172.67.176.56,443,true,LAX,North America,Los Angeles,184 ms,1527 kB/s
104.18.160.83,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1525 kB/s
162.159.130.87,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1522 kB/s
104.18.190.219,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1509 kB/s
172.64.152.72,443,true,HKG,Asia Pacific,Hong Kong,32 ms,1508 kB/s
104.18.202.116,443,true,HKG,Asia Pacific,Hong Kong,33 ms,1502 kB/s
104.16.83.243,443,true,SJC,North America,San Jose,195 ms,1500 kB/s
104.17.136.61,443,true,TPE,Asia Pacific,Taipei,54 ms,1499 kB/s
104.16.96.94,443,true,FRA,Europe,Frankfurt,222 ms,1498 kB/s
104.18.98.26,443,true,SJC,North America,San Jose,151 ms,1494 kB/s
172.67.157.57,443,true,HKG,Asia Pacific,Hong Kong,34 ms,1492 kB/s
