IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
104.16.69.79,443,true,SJC,North America,San Jose,209 ms,0 kB/s
104.16.68.194,443,true,SJC,North America,San Jose,196 ms,0 kB/s
104.16.66.116,443,true,SJC,North America,San Jose,191 ms,0 kB/s
104.16.64.96,443,true,SJC,North America,San Jose,190 ms,0 kB/s
104.16.31.50,443,true,SJC,North America,San Jose,181 ms,0 kB/s
104.16.31.46,443,true,SJC,North America,San Jose,180 ms,0 kB/s
104.16.30.176,443,true,SJC,North America,San Jose,189 ms,0 kB/s
104.16.30.126,443,true,SJC,North America,San Jose,198 ms,0 kB/s
104.16.29.220,443,true,SJC,North America,San Jose,188 ms,0 kB/s
104.16.25.188,443,true,SJC,North America,San Jose,196 ms,0 kB/s
104.16.24.10,443,true,SJC,North America,San Jose,188 ms,0 kB/s
104.16.24.8,443,true,SJC,North America,San Jose,176 ms,0 kB/s
104.16.22.246,443,true,SJC,North America,San Jose,197 ms,0 kB/s
104.16.22.123,443,true,SJC,North America,San Jose,182 ms,0 kB/s
104.16.22.121,443,true,SJC,North America,San Jose,189 ms,0 kB/s
104.16.21.99,443,true,SJC,North America,San Jose,194 ms,0 kB/s
104.16.20.235,443,true,SJC,North America,San Jose,184 ms,0 kB/s
104.16.20.229,443,true,SJC,North America,San Jose,190 ms,0 kB/s
104.16.20.105,443,true,SJC,North America,San Jose,175 ms,0 kB/s
104.16.19.206,443,true,SJC,North America,San Jose,190 ms,0 kB/s
172.67.190.196,443,true,LAX,North America,Los Angeles,175 ms,0 kB/s
23.227.60.193,443,true,LAX,North America,Los Angeles,221 ms,0 kB/s
104.16.19.80,443,true,SJC,North America,San Jose,174 ms,0 kB/s
104.16.18.212,443,true,SJC,North America,San Jose,185 ms,0 kB/s
104.16.18.23,443,true,HKG,Asia Pacific,Hong Kong,31 ms,0 kB/s
104.16.18.70,443,true,SJC,North America,San Jose,239 ms,0 kB/s
104.16.16.75,443,true,SJC,North America,San Jose,187 ms,0 kB/s
104.16.2.211,443,true,HKG,Asia Pacific,Hong Kong,34 ms,0 kB/s
172.67.208.61,443,true,SJC,North America,San Jose,195 ms,0 kB/s
172.67.209.51,443,true,SJC,North America,San Jose,192 ms,0 kB/s
172.67.209.207,443,true,SJC,North America,San Jose,197 ms,0 kB/s
66.235.200.102,443,true,LAX,North America,Los Angeles,231 ms,0 kB/s
172.67.210.46,443,true,SJC,North America,San Jose,187 ms,0 kB/s
172.67.210.45,443,true,SJC,North America,San Jose,193 ms,0 kB/s
172.67.210.159,443,true,SJC,North America,San Jose,187 ms,0 kB/s
172.67.210.155,443,true,SJC,North America,San Jose,194 ms,0 kB/s
172.67.210.165,443,true,SJC,North America,San Jose,181 ms,0 kB/s
172.67.210.169,443,true,SJC,North America,San Jose,177 ms,0 kB/s
66.235.200.97,443,true,LAX,North America,Los Angeles,228 ms,0 kB/s
172.67.210.182,443,true,SJC,North America,San Jose,189 ms,0 kB/s
172.67.211.36,443,true,SJC,North America,San Jose,188 ms,0 kB/s
23.227.60.213,443,true,LAX,North America,Los Angeles,242 ms,0 kB/s
172.67.211.161,443,true,SJC,North America,San Jose,182 ms,0 kB/s
172.67.211.163,443,true,SJC,North America,San Jose,186 ms,0 kB/s
172.67.212.26,443,true,SJC,North America,San Jose,183 ms,0 kB/s
172.67.212.25,443,true,SJC,North America,San Jose,188 ms,0 kB/s
172.67.212.155,443,true,SJC,North America,San Jose,185 ms,0 kB/s
172.67.212.154,443,true,SJC,North America,San Jose,184 ms,0 kB/s
172.67.213.146,443,true,SJC,North America,San Jose,173 ms,0 kB/s
172.67.214.10,443,true,SJC,North America,San Jose,176 ms,0 kB/s
172.67.214.132,443,true,SJC,North America,San Jose,181 ms,0 kB/s
172.67.215.157,443,true,SJC,North America,San Jose,215 ms,0 kB/s
172.67.216.123,443,true,SJC,North America,San Jose,187 ms,0 kB/s
172.67.217.113,443,true,SJC,North America,San Jose,185 ms,0 kB/s
172.67.219.99,443,true,SJC,North America,San Jose,189 ms,0 kB/s
172.67.219.125,443,true,SJC,North America,San Jose,186 ms,0 kB/s
172.67.219.255,443,true,SJC,North America,San Jose,180 ms,0 kB/s
172.67.219.253,443,true,SJC,North America,San Jose,189 ms,0 kB/s
172.67.221.108,443,true,SJC,North America,San Jose,188 ms,0 kB/s
172.67.221.236,443,true,SJC,North America,San Jose,184 ms,0 kB/s
172.67.222.193,443,true,SJC,North America,San Jose,182 ms,0 kB/s
172.67.222.198,443,true,SJC,North America,San Jose,188 ms,0 kB/s
172.71.173.69,443,true,DFW,North America,Dallas,244 ms,0 kB/s
23.227.60.93,443,true,LAX,North America,Los Angeles,241 ms,0 kB/s
190.93.244.179,443,true,SJC,North America,San Jose,179 ms,0 kB/s
190.93.245.2,443,true,SJC,North America,San Jose,182 ms,0 kB/s
190.93.245.139,443,true,SJC,North America,San Jose,190 ms,0 kB/s
198.41.208.50,443,true,HKG,Asia Pacific,Hong Kong,123 ms,0 kB/s
198.41.209.135,443,true,HKG,Asia Pacific,Hong Kong,118 ms,0 kB/s
198.41.212.19,443,true,HKG,Asia Pacific,Hong Kong,124 ms,0 kB/s
23.227.39.213,443,true,SEA,North America,Seattle,183 ms,0 kB/s
198.41.212.157,443,true,HKG,Asia Pacific,Hong Kong,81 ms,0 kB/s
23.227.60.62,443,true,LAX,North America,Los Angeles,203 ms,0 kB/s
198.41.212.238,443,true,HKG,Asia Pacific,Hong Kong,135 ms,0 kB/s
198.41.219.232,443,true,SJC,North America,San Jose,182 ms,0 kB/s
23.227.39.1,443,true,SEA,North America,Seattle,175 ms,0 kB/s
198.41.219.246,443,true,SJC,North America,San Jose,192 ms,0 kB/s
198.41.220.82,443,true,HKG,Asia Pacific,Hong Kong,104 ms,0 kB/s
198.41.220.81,443,true,HKG,Asia Pacific,Hong Kong,104 ms,0 kB/s
198.41.221.93,443,true,HKG,Asia Pacific,Hong Kong,102 ms,0 kB/s
198.41.221.94,443,true,HKG,Asia Pacific,Hong Kong,102 ms,0 kB/s
198.41.221.164,443,true,HKG,Asia Pacific,Hong Kong,128 ms,0 kB/s
198.41.221.219,443,true,HKG,Asia Pacific,Hong Kong,100 ms,0 kB/s
